k,w,y,E
0,"[-0.6, -0.3, -0.6, 0.3, 0.3]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",6
1,"[-0.6, -0.3, -0.6, 0.3, 0.6]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",4
2,"[-0.5999999999999999, -0.3, -0.6, 0.6, 0.8999999999999999]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",6
3,"[-1.2, -0.3, -0.6, 0.5999999999999999, 0.5999999999999999]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",6
4,"[-1.2, -0.6, -0.6, 0.8999999999999999, 0.8999999999999999]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",6
5,"[-1.5, -0.3, -0.6, 0.8999999999999999, 0.8999999999999999]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5
6,"[-1.2, -0.3, -0.6, 1.2, 1.2]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5
7,"[-1.5, -0.3, -0.8999999999999999, 0.8999999999999999, 1.2]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",5
8,"[-1.5, -0.6, -0.5999999999999999, 1.2, 1.2]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4
9,"[-1.5, -0.6, -0.5999999999999999, 1.2, 1.2]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",4
10,"[-1.5, -0.6, -0.5999999999999999, 1.2, 1.2]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",2
11,"[-1.5, -0.6, -0.5999999999999999, 1.2, 1.2]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4
12,"[-1.5, -0.6, -0.5999999999999999, 1.2, 1.2]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0
